country,pollutant_name,season_4,aqi_category,days,total_days,percentage,aqi_numeric_order
BELGIUM,PM2.5,Autumn,Poor,205,3728,5.49892703862661,4
BELGIUM,PM2.5,Autumn,Good,11,3728,0.29506437768240346,1
BELGIUM,PM2.5,Autumn,Moderate,2048,3728,54.93562231759657,3
BELGIUM,PM2.5,Autumn,Fair,1464,3728,39.27038626609442,2
BELGIUM,PM2.5,Spring,Good,23,3826,0.6011500261369577,1
BELGIUM,PM2.5,Spring,Moderate,2532,3826,66.1787767903816,3
BELGIUM,PM2.5,Spring,Very Poor,36,3826,0.9409304756926294,5
BELGIUM,PM2.5,Spring,Extremely Poor,5,3826,0.13068478829064298,6
BELGIUM,PM2.5,Spring,Poor,282,3826,7.370622059592264,4
BELGIUM,PM2.5,Spring,Fair,948,3826,24.777835859905906,2
BELGIUM,PM2.5,Summer,Moderate,1899,3753,50.59952038369304,3
BELGIUM,PM2.5,Summer,Good,16,3753,0.4263256061817213,1
BELGIUM,PM2.5,Summer,Very Poor,4,3753,0.10658140154543032,5
BELGIUM,PM2.5,Summer,Poor,33,3753,0.8792965627498002,4
BELGIUM,PM2.5,Summer,Fair,1801,3753,47.988276045830006,2
BELGIUM,PM2.5,Winter,Very Poor,54,3805,1.419185282522996,5
BELGIUM,PM2.5,Winter,Poor,446,3805,11.721419185282524,4
BELGIUM,PM2.5,Winter,Extremely Poor,7,3805,0.18396846254927726,6
BELGIUM,PM2.5,Winter,Fair,946,3805,24.86202365308804,2
BELGIUM,PM2.5,Winter,Good,19,3805,0.49934296977660975,1
BELGIUM,PM2.5,Winter,Moderate,2333,3805,61.31406044678055,3
CZECH,PM10,Autumn,Poor,222,38379,0.5784413351051356,4
CZECH,PM10,Autumn,Very Poor,32,38379,0.08337893118632586,5
CZECH,PM10,Autumn,Moderate,9765,38379,25.443601969827252,3
CZECH,PM10,Autumn,Extremely Poor,2,38379,0.005211183199145366,6
CZECH,PM10,Autumn,Fair,21980,38379,57.27090335860757,2
CZECH,PM10,Autumn,Good,6378,38379,16.618463222074574,1
CZECH,PM10,Spring,Moderate,9045,38673,23.388410518966722,3
CZECH,PM10,Spring,Poor,350,38673,0.9050241770744446,4
CZECH,PM10,Spring,Very Poor,41,38673,0.10601711788586353,5
