country,pollutant_name,year_num,avg_aqi,risk_days
BELGIUM,PM2.5,2015,2.842431063590321,161
BELGIUM,PM2.5,2016,2.7993273542600896,175
BELGIUM,PM2.5,2017,2.8121546961325965,178
BELGIUM,PM2.5,2018,2.8423700391280047,171
BELGIUM,PM2.5,2019,2.6846064814814814,131
BELGIUM,PM2.5,2020,2.601244343891403,78
BELGIUM,PM2.5,2021,2.743879472693032,81
BELGIUM,PM2.5,2022,2.6678520625889046,83
BELGIUM,PM2.5,2023,2.504461221688401,14
CZECH,PM10,2013,2.285749875435974,434
CZECH,PM10,2014,2.2823351786612984,312
CZECH,PM10,2015,2.233498544567697,226
CZECH,PM10,2016,2.1636376748882156,237
CZECH,PM10,2017,2.0965253801513257,433
CZECH,PM10,2018,2.2420286593142773,245
CZECH,PM10,2019,2.06025051530046,91
CZECH,PM10,2020,1.9947176549363888,36
CZECH,PM10,2021,2.0179208563087903,82
CZECH,PM10,2022,2.0344967862663736,26
CZECH,PM10,2023,1.875866003749287,15
CZECH,PM10,2024,1.8745319843862025,102
CZECH,PM2.5,2013,3.1031353135313533,764
CZECH,PM2.5,2014,3.121761658031088,790
CZECH,PM2.5,2015,2.994321115126484,675
CZECH,PM2.5,2016,2.908327246165084,803
CZECH,PM2.5,2017,2.7941585535465925,646
CZECH,PM2.5,2018,2.916801106245679,609
CZECH,PM2.5,2019,2.7292288027268854,403
CZECH,PM2.5,2020,2.6693788450089304,322
CZECH,PM2.5,2021,2.723377599599098,364
CZECH,PM2.5,2022,2.6673346693386772,259
CZECH,PM2.5,2023,2.567403314917127,144
CZECH,PM2.5,2024,2.4515214027849406,156
GERMANY,PM10,2013,2.2668729913105583,1018
GERMANY,PM10,2014,2.236931542320764,779
GERMANY,PM10,2015,2.2015109629223204,541
GERMANY,PM10,2016,2.139293517844137,330
GERMANY,PM10,2017,2.080862977602108,733
GERMANY,PM10,2018,2.139996213475819,331
GERMANY,PM10,2019,2.0212175509133816,119
GERMANY,PM10,2020,1.922801851072781,92
GERMANY,PM10,2021,1.9113385464581416,174
GERMANY,PM10,2022,1.9762213295322015,48
GERMANY,PM10,2023,1.8152231077308953,24
