country,pollutant_name,total_days,who_exceed_pct
BELGIUM,PM2.5,14880,22.036290322580644
CZECH,PM10,150715,2.9001758285505757
CZECH,PM2.5,49917,30.272251938217444
GERMANY,PM10,601724,1.5982410540380638
GERMANY,PM2.5,297447,18.25770641492434
ITALY,PM10,1722083,7.052099114851027
ITALY,PM2.5,877792,29.985463526666912
POLAND,PM10,675111,11.444636511625497
POLAND,PM2.5,252585,47.66910149058733
SPAIN,PM10,404742,2.2458751500956167
SPAIN,PM2.5,231789,20.120885805624944
SWEDEN,PM10,59974,1.2838896855303965
SWEDEN,PM2.5,19619,0.5657780722768745
UK,PM10,12430,2.727272727272727
UK,PM2.5,17001,11.934592082818659
