country,pollutant_name,prev_aqi,aqi_category,count
CZECH,PM2.5,Moderate,Poor,2171
CZECH,PM2.5,Poor,Moderate,2114
CZECH,PM2.5,Poor,Poor,1839
CZECH,PM2.5,Moderate,Moderate,21396
CZECH,PM2.5,Moderate,Good,717
CZECH,PM2.5,Good,Fair,1017
CZECH,PM2.5,Fair,Fair,7496
CZECH,PM2.5,Fair,Moderate,5016
CZECH,PM2.5,Moderate,Fair,4874
CZECH,PM2.5,Fair,Good,923
CZECH,PM2.5,Good,Moderate,648
CZECH,PM2.5,Good,Good,238
CZECH,PM2.5,Good,Poor,85
CZECH,PM2.5,Moderate,Extremely Poor,67
CZECH,PM2.5,Extremely Poor,Moderate,57
CZECH,PM2.5,Poor,Fair,215
CZECH,PM2.5,Fair,Poor,184
CZECH,PM2.5,Extremely Poor,Extremely Poor,76
CZECH,PM2.5,Moderate,Very Poor,234
CZECH,PM2.5,Very Poor,Extremely Poor,72
CZECH,PM2.5,Extremely Poor,Poor,86
CZECH,PM2.5,Poor,Extremely Poor,77
CZECH,PM2.5,Very Poor,Poor,336
CZECH,PM2.5,Extremely Poor,Very Poor,67
CZECH,PM2.5,Very Poor,Very Poor,242
CZECH,PM2.5,Very Poor,Moderate,228
CZECH,PM2.5,Poor,Very Poor,355
CZECH,PM2.5,Poor,Good,101
CZECH,PM2.5,Good,Very Poor,14
CZECH,PM2.5,Fair,Very Poor,19
CZECH,PM2.5,Very Poor,Fair,31
CZECH,PM2.5,Very Poor,Good,22
CZECH,PM2.5,Extremely Poor,Fair,12
CZECH,PM2.5,Good,Extremely Poor,4
CZECH,PM2.5,Extremely Poor,Good,5
CZECH,PM2.5,Fair,Extremely Poor,7
ITALY,PM2.5,Fair,Very Poor,1599
ITALY,PM2.5,Very Poor,Very Poor,3621
ITALY,PM2.5,Very Poor,Poor,6636
ITALY,PM2.5,Poor,Poor,23268
ITALY,PM2.5,Poor,Very Poor,6619
ITALY,PM2.5,Very Poor,Extremely Poor,770
ITALY,PM2.5,Extremely Poor,Poor,1183
ITALY,PM2.5,Poor,Extremely Poor,1228
ITALY,PM2.5,Extremely Poor,Very Poor,810
ITALY,PM2.5,Poor,Moderate,43672
ITALY,PM2.5,Moderate,Very Poor,8569
ITALY,PM2.5,Very Poor,Moderate,8592
ITALY,PM2.5,Moderate,Poor,43742
ITALY,PM2.5,Moderate,Extremely Poor,1457
ITALY,PM2.5,Moderate,Moderate,366972
ITALY,PM2.5,Poor,Fair,8905
ITALY,PM2.5,Fair,Moderate,110986
ITALY,PM2.5,Fair,Extremely Poor,239
ITALY,PM2.5,Extremely Poor,Extremely Poor,424
ITALY,PM2.5,Extremely Poor,Moderate,1464
ITALY,PM2.5,Fair,Poor,8796
ITALY,PM2.5,Extremely Poor,Fair,239
ITALY,PM2.5,Moderate,Fair,110888
ITALY,PM2.5,Very Poor,Fair,1605
ITALY,PM2.5,Fair,Fair,101240
ITALY,PM2.5,Moderate,Good,7822
ITALY,PM2.5,Good,Poor,748
ITALY,PM2.5,Good,Extremely Poor,17
ITALY,PM2.5,Good,Moderate,7765
ITALY,PM2.5,Good,Fair,9027
ITALY,PM2.5,Good,Very Poor,128
ITALY,PM2.5,Poor,Good,681
ITALY,PM2.5,Fair,Good,9045
ITALY,PM2.5,Good,Good,1431
ITALY,PM2.5,Very Poor,Good,122
ITALY,PM2.5,Extremely Poor,Good,15
POLAND,PM10,Moderate,Moderate,161635
POLAND,PM10,Moderate,Poor,18231
POLAND,PM10,Poor,Fair,2961
POLAND,PM10,Fair,Moderate,82414
POLAND,PM10,Moderate,Fair,82406
POLAND,PM10,Fair,Fair,252231
POLAND,PM10,Fair,Poor,2996
POLAND,PM10,Poor,Moderate,18231
POLAND,PM10,Moderate,Good,2499
POLAND,PM10,Good,Moderate,2509
POLAND,PM10,Moderate,Extremely Poor,914
POLAND,PM10,Extremely Poor,Moderate,928
POLAND,PM10,Fair,Very Poor,434
POLAND,PM10,Very Poor,Moderate,2890
POLAND,PM10,Moderate,Very Poor,2923
POLAND,PM10,Very Poor,Fair,469
POLAND,PM10,Poor,Poor,8823
POLAND,PM10,Fair,Extremely Poor,129
POLAND,PM10,Extremely Poor,Fair,150
POLAND,PM10,Good,Fair,16683
POLAND,PM10,Fair,Good,16696
POLAND,PM10,Good,Good,4766
POLAND,PM10,Poor,Good,113
POLAND,PM10,Good,Poor,122
POLAND,PM10,Very Poor,Good,22
POLAND,PM10,Poor,Very Poor,2208
POLAND,PM10,Very Poor,Poor,2195
POLAND,PM10,Poor,Extremely Poor,849
POLAND,PM10,Extremely Poor,Very Poor,504
POLAND,PM10,Very Poor,Extremely Poor,509
POLAND,PM10,Very Poor,Very Poor,913
POLAND,PM10,Extremely Poor,Poor,819
POLAND,PM10,Extremely Poor,Extremely Poor,475
POLAND,PM10,Good,Extremely Poor,8
POLAND,PM10,Good,Very Poor,16
POLAND,PM10,Extremely Poor,Good,8
POLAND,PM2.5,Moderate,Extremely Poor,674
POLAND,PM2.5,Extremely Poor,Poor,1329
POLAND,PM2.5,Poor,Poor,15610
POLAND,PM2.5,Poor,Extremely Poor,1310
POLAND,PM2.5,Extremely Poor,Extremely Poor,1114
POLAND,PM2.5,Extremely Poor,Moderate,611
POLAND,PM2.5,Moderate,Moderate,124871
POLAND,PM2.5,Moderate,Poor,16475
POLAND,PM2.5,Poor,Moderate,16439
POLAND,PM2.5,Poor,Very Poor,4572
POLAND,PM2.5,Very Poor,Moderate,2670
POLAND,PM2.5,Extremely Poor,Very Poor,1231
POLAND,PM2.5,Very Poor,Very Poor,2858
POLAND,PM2.5,Very Poor,Poor,4502
POLAND,PM2.5,Moderate,Very Poor,2528
POLAND,PM2.5,Very Poor,Fair,84
POLAND,PM2.5,Fair,Moderate,21613
POLAND,PM2.5,Moderate,Fair,21667
POLAND,PM2.5,Fair,Poor,844
POLAND,PM2.5,Poor,Fair,826
POLAND,PM2.5,Fair,Fair,13724
POLAND,PM2.5,Moderate,Good,532
POLAND,PM2.5,Good,Moderate,543
POLAND,PM2.5,Fair,Good,505
POLAND,PM2.5,Fair,Very Poor,116
POLAND,PM2.5,Very Poor,Extremely Poor,1193
POLAND,PM2.5,Good,Poor,21
POLAND,PM2.5,Extremely Poor,Good,2
POLAND,PM2.5,Good,Extremely Poor,2
POLAND,PM2.5,Fair,Extremely Poor,17
POLAND,PM2.5,Extremely Poor,Fair,23
POLAND,PM2.5,Poor,Good,24
POLAND,PM2.5,Good,Very Poor,4
POLAND,PM2.5,Good,Fair,495
POLAND,PM2.5,Good,Good,29
POLAND,PM2.5,Very Poor,Good,2
SPAIN,PM10,Good,Fair,30940
SPAIN,PM10,Fair,Moderate,51204
SPAIN,PM10,Moderate,Moderate,53233
SPAIN,PM10,Moderate,Fair,51125
SPAIN,PM10,Fair,Good,30863
SPAIN,PM10,Good,Good,17097
SPAIN,PM10,Moderate,Good,7689
SPAIN,PM10,Fair,Fair,151871
SPAIN,PM10,Good,Moderate,7640
SPAIN,PM10,Good,Poor,183
SPAIN,PM10,Poor,Moderate,1237
SPAIN,PM10,Moderate,Poor,1248
SPAIN,PM10,Poor,Fair,764
SPAIN,PM10,Fair,Poor,759
SPAIN,PM10,Poor,Poor,374
SPAIN,PM10,Poor,Good,202
SPAIN,PM10,Good,Very Poor,28
SPAIN,PM10,Very Poor,Very Poor,22
SPAIN,PM10,Very Poor,Good,26
SPAIN,PM10,Moderate,Very Poor,127
SPAIN,PM10,Very Poor,Fair,85
SPAIN,PM10,Fair,Extremely Poor,56
SPAIN,PM10,Extremely Poor,Fair,45
SPAIN,PM10,Fair,Very Poor,76
SPAIN,PM10,Very Poor,Moderate,105
SPAIN,PM10,Good,Extremely Poor,8
SPAIN,PM10,Extremely Poor,Moderate,59
SPAIN,PM10,Very Poor,Poor,66
SPAIN,PM10,Moderate,Extremely Poor,56
SPAIN,PM10,Extremely Poor,Good,18
SPAIN,PM10,Poor,Extremely Poor,13
SPAIN,PM10,Poor,Very Poor,52
SPAIN,PM10,Extremely Poor,Extremely Poor,24
SPAIN,PM10,Extremely Poor,Very Poor,10
SPAIN,PM10,Very Poor,Extremely Poor,11
SPAIN,PM10,Extremely Poor,Poor,12
SWEDEN,PM10,Good,Fair,8604
SWEDEN,PM10,Fair,Fair,20546
SWEDEN,PM10,Fair,Good,8643
SWEDEN,PM10,Good,Good,7418
SWEDEN,PM10,Good,Moderate,1311
SWEDEN,PM10,Moderate,Fair,4404
SWEDEN,PM10,Moderate,Good,1272
SWEDEN,PM10,Fair,Moderate,4341
SWEDEN,PM10,Moderate,Moderate,2796
SWEDEN,PM10,Good,Poor,124
SWEDEN,PM10,Poor,Fair,378
SWEDEN,PM10,Poor,Good,131
SWEDEN,PM10,Good,Extremely Poor,20
SWEDEN,PM10,Extremely Poor,Good,15
SWEDEN,PM10,Fair,Poor,407
SWEDEN,PM10,Moderate,Extremely Poor,53
SWEDEN,PM10,Extremely Poor,Fair,47
SWEDEN,PM10,Moderate,Very Poor,80
SWEDEN,PM10,Very Poor,Moderate,81
SWEDEN,PM10,Moderate,Poor,332
SWEDEN,PM10,Poor,Moderate,353
SWEDEN,PM10,Fair,Very Poor,88
SWEDEN,PM10,Fair,Extremely Poor,41
SWEDEN,PM10,Extremely Poor,Poor,10
SWEDEN,PM10,Very Poor,Good,37
SWEDEN,PM10,Very Poor,Fair,88
