country,pollutant_name,month_num,avg_concentration,n_measurements
BELGIUM,PM2.5,1,13.5015948963317384370016,1254
BELGIUM,PM2.5,2,14.4715660542432195975503,1143
BELGIUM,PM2.5,3,14.3222748815165876777251,1266
BELGIUM,PM2.5,4,13.7395918367346938775510,1225
BELGIUM,PM2.5,5,10.4531001589825119236884,1258
BELGIUM,PM2.5,6,9.5907617504051863857374,1234
BELGIUM,PM2.5,7,8.4828125000000000000000,1280
BELGIUM,PM2.5,8,8.7905844155844155844156,1232
BELGIUM,PM2.5,9,8.9942716857610474631751,1222
BELGIUM,PM2.5,10,10.6444444444444444444444,1260
BELGIUM,PM2.5,11,13.1593495934959349593496,1230
BELGIUM,PM2.5,12,13.2727272727272727272727,1276
CZECH,PM10,1,20.6205700950158359726621,11998
CZECH,PM10,2,21.5045947387131176679701,11252
CZECH,PM10,3,22.1534452990111442473709,12742
CZECH,PM10,4,18.4637859424920127795527,12520
CZECH,PM10,5,14.1516143911439114391144,13008
CZECH,PM10,6,14.4154035198985254479150,12614
CZECH,PM10,7,14.9801519103882154365506,13034
CZECH,PM10,8,15.3659320477502295684114,13068
CZECH,PM10,9,15.1124655050067018844122,12683
CZECH,PM10,10,19.0077402477494806493806,12997
CZECH,PM10,11,19.7840167229458112236694,12438
CZECH,PM10,12,18.0508130410160990211148,12361
CZECH,PM2.5,1,16.6035375544732119969239,3901
CZECH,PM2.5,2,17.1704958005960444324031,3691
CZECH,PM2.5,3,18.0390947467166979362101,4264
CZECH,PM2.5,4,13.9594123268036311514572,4186
CZECH,PM2.5,5,10.0493752892179546506247,4322
CZECH,PM2.5,6,9.4792170130497825036249,4138
CZECH,PM2.5,7,9.5692004634994206257242,4315
CZECH,PM2.5,8,9.9647698357622021744159,4323
CZECH,PM2.5,9,10.1230713943459511260182,4174
CZECH,PM2.5,10,13.7121811077913123419903,4351
CZECH,PM2.5,11,15.8080086580086580086580,4158
CZECH,PM2.5,12,14.8781143136297020029311,4094
GERMANY,PM10,1,17.3127810533952442919673,50718
