country,pollutant_name,is_weekend,avg_aqi,risk_days
SPAIN,PM10,Weekend,2.0508913635711896,680
SPAIN,PM2.5,Weekday,2.6446673137064596,5659
SPAIN,PM2.5,Weekend,2.598238349770383,1721
SPAIN,PM10,Weekday,2.19542868846502,2445
ITALY,PM2.5,Weekend,2.8471388771894572,30890
ITALY,PM10,Weekday,2.33810447258289,44485
ITALY,PM10,Weekend,2.2884709548627287,17841
ITALY,PM2.5,Weekday,2.857984596175699,78964
GERMANY,PM10,Weekend,1.9716940573570803,867
GERMANY,PM2.5,Weekday,2.5809790403923563,10931
GERMANY,PM2.5,Weekend,2.559719967298813,3794
GERMANY,PM10,Weekday,2.069572087323853,3568
POLAND,PM10,Weekend,2.4536873663402377,10791
POLAND,PM2.5,Weekend,3.1178279932546373,14880
POLAND,PM2.5,Weekday,3.143768655102306,39520
POLAND,PM10,Weekday,2.514661694560372,32277
SWEDEN,PM2.5,Weekday,1.8179916317991631,84
SWEDEN,PM2.5,Weekend,1.7978889081155909,26
SWEDEN,PM10,Weekday,1.9523539421440725,1118
SWEDEN,PM10,Weekend,1.8112931374204808,199
BELGIUM,PM2.5,Weekend,2.7045036764705883,272
BELGIUM,PM2.5,Weekday,2.737825278810409,800
UK,PM2.5,Weekend,2.3094098883572567,117
UK,PM10,Weekday,2.0218413978494625,107
UK,PM2.5,Weekday,2.373952288845906,519
UK,PM10,Weekend,1.8942573163997791,38
CZECH,PM10,Weekend,2.0563944880993055,618
CZECH,PM10,Weekday,2.113166724729093,1621
CZECH,PM2.5,Weekday,2.8086083608360837,4451
CZECH,PM2.5,Weekend,2.7803350129374915,1484
