country,pollutant_name,date,avg_concentration,avg_aqi,rank
BELGIUM,PM2.5,2017-02-11,149.13559999999998,5.8,1
BELGIUM,PM2.5,2017-01-22,138.7812,5.6,2
BELGIUM,PM2.5,2019-04-08,138.78119999999998,5.6,3
BELGIUM,PM2.5,2022-07-25,137.302,5.0,4
BELGIUM,PM2.5,2017-01-23,126.57780000000002,5.0,5
BELGIUM,PM2.5,2015-03-20,125.83819999999999,5.2,6
BELGIUM,PM2.5,2018-03-03,122.50999999999999,5.0,7
BELGIUM,PM2.5,2015-03-18,114.3744,5.0,8
BELGIUM,PM2.5,2017-02-10,111.7858,5.0,9
BELGIUM,PM2.5,2017-02-09,109.56699999999998,5.0,10
CZECH,PM10,2024-10-23,470.6502,6.0,1
CZECH,PM10,2015-01-13,370.503,6.0,2
CZECH,PM10,2021-08-14,317.1042,6.0,3
CZECH,PM10,2018-02-10,306.1506,5.333333333333333,4
CZECH,PM10,2014-12-06,299.1579,5.75,5
CZECH,PM10,2013-01-07,264.879,5.0,6
CZECH,PM10,2018-03-06,256.46819999999997,5.0,7
CZECH,PM10,2020-03-18,252.94740000000002,5.0,8
CZECH,PM10,2022-08-08,252.165,5.0,9
CZECH,PM10,2014-12-05,250.9425,5.5,10
CZECH,PM2.5,2014-12-03,229.9985333333333,6.0,1
CZECH,PM2.5,2014-12-06,217.30206666666666,6.0,2
CZECH,PM2.5,2014-12-04,214.8367333333333,6.0,3
CZECH,PM2.5,2021-01-19,174.0971,6.0,4
CZECH,PM2.5,2013-01-15,161.33899999999997,4.875,5
CZECH,PM2.5,2017-02-13,161.1386916666667,5.583333333333333,6
CZECH,PM2.5,2013-01-24,159.48999999999998,5.545454545454546,7
CZECH,PM2.5,2017-01-21,159.02775000000003,5.4,8
CZECH,PM2.5,2015-11-05,158.36211,5.4,9
CZECH,PM2.5,2017-01-20,157.9771818181818,5.363636363636363,10
GERMANY,PM10,2022-03-17,523.3505613,5.0,1
GERMANY,PM10,2014-10-20,452.655,6.0,2
GERMANY,PM10,2024-10-07,360.39048,6.0,3
GERMANY,PM10,2018-08-22,344.2926,6.0,4
GERMANY,PM10,2019-05-11,340.185,6.0,5
GERMANY,PM10,2024-07-31,338.15076,6.0,6
GERMANY,PM10,2017-06-12,323.268534,6.0,7
GERMANY,PM10,2018-01-24,292.34123999999997,6.0,8
GERMANY,PM10,2013-05-01,275.8326,5.5,9
GERMANY,PM10,2016-06-01,271.5337032,6.0,10
GERMANY,PM2.5,2014-10-12,553.1420999999999,6.0,1
GERMANY,PM2.5,2018-01-24,207.91531,6.0,2
GERMANY,PM2.5,2020-01-01,147.4078393234043,5.23404255319149,3
GERMANY,PM2.5,2016-01-07,145.1746207495652,5.434782608695652,4
GERMANY,PM2.5,2023-06-15,144.698,6.0,5
GERMANY,PM2.5,2014-10-20,141.0,6.0,6
GERMANY,PM2.5,2016-01-01,136.84127932844444,4.955555555555556,7
GERMANY,PM2.5,2016-01-06,134.7047850823077,5.1923076923076925,8
GERMANY,PM2.5,2017-10-31,133.6254484,5.0,9
GERMANY,PM2.5,2024-11-05,133.55263477999998,5.0,10
ITALY,PM10,2025-08-24,1954.769112,6.0,1
ITALY,PM10,2018-07-21,1665.9618,6.0,2
ITALY,PM10,2024-09-28,708.8910000000001,6.0,3
ITALY,PM10,2024-09-14,688.17696,6.0,4
ITALY,PM10,2025-09-05,592.7044044,5.5,5
ITALY,PM10,2021-02-13,560.9587200000001,6.0,6
ITALY,PM10,2024-06-10,503.22738000000004,6.0,7
ITALY,PM10,2024-05-14,481.7994,6.0,8
ITALY,PM10,2024-08-04,465.32988652,4.666666666666667,9
