country,pollutant_name,year_num,annual_mean,n_days
BELGIUM,PM2.5,2015,12.4081395348837209302326,1720
BELGIUM,PM2.5,2016,12.6145475372279495990836,1746
BELGIUM,PM2.5,2017,12.3443746430611079383210,1751
BELGIUM,PM2.5,2018,12.9220705346985210466439,1758
BELGIUM,PM2.5,2019,11.6127709431751611013474,1707
BELGIUM,PM2.5,2020,10.4773499433748584371461,1766
BELGIUM,PM2.5,2021,11.6866330390920554854981,1586
BELGIUM,PM2.5,2022,11.1623563218390804597701,1392
BELGIUM,PM2.5,2023,8.6210453920220082530949,1454
CZECH,PM10,2013,20.5949345279117849758787,11608
CZECH,PM10,2014,21.1016454169538249483115,11608
CZECH,PM10,2015,20.2116888319179618650857,12482
CZECH,PM10,2016,18.9522415437669674957811,13629
CZECH,PM10,2017,17.2084503834181155569053,13171
CZECH,PM10,2018,20.6424627151051625239006,13075
CZECH,PM10,2019,17.0349572717834038814791,12521
CZECH,PM10,2020,15.9672659455427079447967,13405
CZECH,PM10,2021,16.7414468849514166734711,12247
CZECH,PM10,2022,16.6462291072156543008561,12265
CZECH,PM10,2023,14.1368940754039497307002,12254
CZECH,PM10,2024,13.7985783132530120481928,12450
CZECH,PM2.5,2013,16.6603498542274052478134,3430
CZECH,PM2.5,2014,17.3788774894387447193724,3314
CZECH,PM2.5,2015,15.9746542553191489361702,3760
CZECH,PM2.5,2016,14.5562605912257578610431,5311
CZECH,PM2.5,2017,12.2016889074228523769808,4796
CZECH,PM2.5,2018,14.6671223191138345510252,4243
CZECH,PM2.5,2019,12.3879250968575118381403,4646
CZECH,PM2.5,2020,11.7265497309148893761212,5017
CZECH,PM2.5,2021,12.3313164556962025316456,3950
CZECH,PM2.5,2022,11.9270739064856711915535,3978
CZECH,PM2.5,2023,10.1568540570479091664359,3611
CZECH,PM2.5,2024,9.5835016835016835016835,3861
GERMANY,PM10,2013,20.5383475514410873659216,48852
GERMANY,PM10,2014,19.8332146734731992778435,48189
GERMANY,PM10,2015,19.2068798577080197806923,46510
GERMANY,PM10,2016,18.2300675878238659583163,48940
GERMANY,PM10,2017,17.0149379070508374839754,47583
GERMANY,PM10,2018,18.3684061105677897516718,46954
GERMANY,PM10,2019,16.3869895549827499066078,45507
GERMANY,PM10,2020,14.7139829557378970812331,42655
GERMANY,PM10,2021,14.5421907111152235767656,43229
GERMANY,PM10,2022,15.4041567342604818286110,46199
GERMANY,PM10,2023,13.1318261298916894422512,49395
GERMANY,PM10,2024,13.5782895881885718801865,75918
GERMANY,PM10,2025,16.9839648909607394216908,11793
GERMANY,PM2.5,2013,12.9454694765096618357488,19872
GERMANY,PM2.5,2014,12.5801501402591170825336,20840
GERMANY,PM2.5,2015,11.7021052733431029592512,21154
GERMANY,PM2.5,2016,11.5347889266976831618027,21279
GERMANY,PM2.5,2017,10.3811267724854975457385,22410
GERMANY,PM2.5,2018,11.5663715672827931065274,22398
GERMANY,PM2.5,2019,9.9590235582428472940365,23208
GERMANY,PM2.5,2020,8.9792939053458725182863,23925
GERMANY,PM2.5,2021,9.2904141233200795228628,25150
GERMANY,PM2.5,2022,9.2899524504708475255460,24955
GERMANY,PM2.5,2023,7.8304224136192476911491,25229
GERMANY,PM2.5,2024,8.1693663319459985405011,41110
GERMANY,PM2.5,2025,10.7077378071826939327362,5917
ITALY,PM10,2013,24.0221797725783924753112,80907
ITALY,PM10,2014,22.8538267122600400423978,84910
ITALY,PM10,2015,24.7606148148480535951129,103293
ITALY,PM10,2016,22.5025692876728455041483,107032
ITALY,PM10,2017,23.0778283346110067211101,110696
ITALY,PM10,2018,22.7145226429065478020289,130120
ITALY,PM10,2019,22.1896202495305081765430,142175
ITALY,PM10,2020,21.6626298663336859286450,142751
ITALY,PM10,2021,21.9148487802647902485773,152347
ITALY,PM10,2022,23.3059618650258864647044,153362
ITALY,PM10,2023,21.3388349939037518973461,149551
ITALY,PM10,2024,21.4598921370179369672676,266433
ITALY,PM10,2025,19.8732464758035043550647,98506
ITALY,PM2.5,2013,15.5794844902508504577260,36157
ITALY,PM2.5,2014,14.7378772262677836712437,40346
ITALY,PM2.5,2015,16.0865504728333589243019,45589
ITALY,PM2.5,2016,14.4425421603378141196391,48429
ITALY,PM2.5,2017,14.8423789699050459075571,50972
ITALY,PM2.5,2018,14.2182103650963329316201,63893
ITALY,PM2.5,2019,13.5559410495132053143994,74364
ITALY,PM2.5,2020,13.4251382052872019695354,75957
ITALY,PM2.5,2021,13.0111784166844933087906,80404
ITALY,PM2.5,2022,13.9523598733707716860458,83337
ITALY,PM2.5,2023,12.6519751452563003191844,83964
